location,sowing_month,soil_type,nitrogen,phosphorus,potassium,ph,rainfall,humidity,crop_suitability
Krishnagiri,Oct,Clay,62,27,52,6.0,695,62,No
Krishnagiri,Dec,Clay,56,22,34,7.4,761,80,No
Dharmapuri,Sep,Sandy Loam,111,15,73,5.2,826,55,No
Erode,Apr,Clay,85,64,49,5.4,871,63,No
Thoothukudi,Jan,Sandy Loam,74,75,62,4.5,513,49,No
Dharmapuri,May,Loamy,41,62,60,7.4,1224,82,No
Thoothukudi,May,Loamy,61,57,123,8.4,990,46,No
Coimbatore,Mar,Sandy Loam,51,41,111,4.7,526,88,No
Thanjavur,Oct,Black Soil,91,77,119,7.8,1297,69,No
Thanjavur,Nov,Black Soil,45,53,101,7.1,807,88,No
Coimbatore,Dec,Sandy Loam,35,40,92,5.4,479,76,No
Tirunelveli,Mar,Clay,99,34,126,6.8,1061,66,No
Erode,Jun,Clay,35,22,74,7.5,611,70,No
Cuddalore,Jul,Loamy,60,41,100,8.3,1267,54,No
Dharmapuri,Mar,Black Soil,72,60,87,5.9,666,89,No
Krishnagiri,Oct,Red Soil,109,67,73,6.0,601,83,No
Dindigul,Sep,Sandy Loam,46,77,42,7.4,824,41,No
Thoothukudi,Dec,Red Soil,85,26,33,8.0,620,81,No
Salem,May,Clay,127,69,37,4.9,1036,83,No
Madurai,Jun,Clay,125,57,53,4.9,549,66,No
Trichy,Mar,Red Soil,56,55,57,8.3,469,89,No
Trichy,Sep,Clay,115,33,44,6.3,685,52,No
Madurai,Apr,Sandy Loam,125,47,77,6.0,1160,78,No
Namakkal,Sep,Loamy,64,77,64,8.4,615,47,No
Madurai,Oct,Loamy,128,17,129,6.0,605,55,No
Tirunelveli,Mar,Black Soil,61,24,77,6.9,734,75,No
Namakkal,Mar,Clay,62,67,77,6.2,769,44,No
Namakkal,Apr,Red Soil,119,68,64,7.6,872,60,No
Thoothukudi,Sep,Loamy,71,15,124,6.2,885,69,No
Namakkal,Nov,Loamy,84,46,91,5.1,1249,87,No
Thanjavur,Dec,Red Soil,107,48,61,7.7,1174,52,No
Salem,Jul,Clay,34,69,105,5.3,844,66,No
Dharmapuri,Jan,Red Soil,129,78,116,8.1,1224,68,No
Villupuram,Sep,Red Soil,90,55,87,6.4,854,84,No
Cuddalore,Aug,Loamy,36,41,98,7.6,1010,43,No
Madurai,May,Loamy,32,25,118,5.6,1162,65,No
Salem,Apr,Loamy,44,78,47,6.7,429,78,No
Tirunelveli,Jul,Red Soil,107,62,111,7.9,726,87,No
Namakkal,Oct,Clay,36,58,118,6.2,996,62,No
Namakkal,Apr,Sandy Loam,64,67,112,6.9,503,47,No
Karur,Feb,Loamy,90,39,35,6.8,572,76,No
Dindigul,Apr,Sandy Loam,38,17,45,8.2,850,66,No
Cuddalore,Sep,Black Soil,116,73,103,6.5,555,49,No
Namakkal,Jun,Black Soil,41,76,125,6.0,476,54,No
Dharmapuri,Nov,Sandy Loam,102,32,51,5.2,1256,67,No
Erode,Dec,Sandy Loam,90,15,127,8.1,708,46,No
Coimbatore,Jun,Loamy,62,51,119,8.4,741,60,No
Coimbatore,Jul,Loamy,67,59,98,5.2,889,73,No
Namakkal,Oct,Clay,57,68,126,6.3,703,42,No
Madurai,Sep,Black Soil,51,45,35,6.5,995,86,No
