temperature,humidity,rainfall,soil_moisture,nitrogen,month,irrigation_hours,disease_risk,heat_stress
40.3,95,108,43,81,6,0,2,2
20.9,62,62,71,62,10,0,0,0
34.4,57,38,75,43,9,1,0,1
41.3,44,144,33,77,12,0,0,2
38.6,88,55,53,101,11,0,2,2
34.7,85,37,75,57,9,1,1,1
20.5,54,188,21,99,10,0,0,0
34.0,72,83,34,101,12,0,1,1
29.2,44,41,56,115,11,0,0,0
18.9,63,74,60,107,3,0,0,0
33.8,40,61,72,69,3,0,0,1
25.8,45,72,40,73,4,0,0,0
38.0,42,58,56,89,12,0,0,2
35.5,79,14,71,87,3,3,1,1
23.3,41,57,57,50,2,0,0,0
24.8,73,47,26,117,3,0,1,0
40.8,42,46,54,50,4,0,0,2
21.7,53,121,41,94,4,0,0,0
37.0,71,185,25,58,7,0,1,2
41.9,78,6,38,83,8,3,1,2
30.5,45,153,21,65,6,0,0,1
30.4,66,161,60,91,7,0,1,1
21.5,90,24,79,91,2,1,1,0
40.0,94,114,53,49,2,0,2,2
33.3,67,179,72,74,5,0,1,1
27.1,76,69,33,43,4,0,1,0
39.0,66,142,56,62,3,0,1,2
23.2,49,121,33,66,5,0,0,0
23.7,92,124,68,79,5,0,2,0
32.3,79,61,25,107,2,0,1,1
20.7,83,175,25,59,6,0,2,0
32.2,95,6,68,47,2,1,1,1
22.0,75,35,76,42,6,1,1,0
18.5,44,131,70,54,5,0,0,0
34.2,40,96,54,116,12,0,0,1
36.7,91,98,58,114,8,0,2,2
29.0,55,110,23,76,4,0,0,0
24.7,91,102,23,111,12,0,2,0
36.2,94,66,25,69,10,0,2,2
40.9,91,97,31,72,3,0,2,2
41.3,53,67,72,90,12,0,0,2
34.4,63,102,70,92,11,0,0,1
35.8,90,147,56,108,8,0,2,1
22.4,60,33,49,110,2,1,0,0
24.5,83,57,38,93,9,0,2,0
19.0,52,107,67,112,3,0,0,0
37.5,59,39,55,53,4,3,0,2
24.8,79,160,31,80,2,0,1,0
31.5,68,171,24,61,11,0,1,1
33.0,71,28,45,40,11,1,1,1
26.2,72,76,53,110,4,0,1,0
24.2,40,59,48,90,1,0,0,0
25.3,91,179,50,115,12,0,2,0
26.5,56,102,58,57,3,0,0,0
21.8,87,42,29,58,6,0,1,0
27.5,48,47,61,94,7,0,0,0
33.7,48,50,41,76,1,0,0,1
39.3,81,50,50,69,12,0,1,2
21.0,59,156,66,75,8,0,0,0
36.7,48,85,28,80,1,0,0,2
31.2,87,27,79,44,10,1,1,1
28.7,47,72,52,111,11,0,0,0
19.0,86,179,57,72,9,0,2,0
40.5,40,145,66,69,10,0,0,2
19.5,47,96,27,70,8,0,0,0
40.1,81,26,69,93,8,3,1,2
35.7,70,127,26,116,6,0,1,1
23.1,87,121,60,110,4,0,2,0
23.0,76,20,22,75,11,2,1,0
29.3,94,66,23,79,8,0,2,0
40.1,41,42,73,66,9,0,0,2
26.8,78,68,26,86,3,0,1,0
39.9,65,43,53,71,4,0,0,2
33.2,61,52,30,106,2,0,0,1
37.3,64,133,45,83,4,0,0,2
37.1,59,92,63,107,12,0,0,2
40.5,76,128,39,77,2,0,1,2
25.2,57,40,61,50,2,1,0,0
36.9,43,121,54,73,1,0,0,2
37.9,52,84,21,74,12,0,0,2
20.0,50,111,31,96,5,0,0,0
25.7,85,100,58,84,11,0,2,0
23.0,71,12,20,46,10,2,1,0
21.3,49,84,64,105,1,0,0,0
26.6,95,151,34,112,7,0,2,0
18.1,49,12,46,110,8,1,0,0
41.5,43,86,31,61,7,0,0,2
29.3,76,189,69,96,5,0,1,0
34.2,89,52,38,67,3,0,2,1
26.9,73,16,39,96,1,1,1,0
27.3,93,166,68,53,4,0,2,0
18.1,92,108,27,113,8,0,2,0
26.1,58,73,26,117,8,0,0,0
32.2,62,132,44,76,6,0,0,1
29.7,92,174,75,78,5,0,2,0
