epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,439.322,2.31566,0.37019,0.83774,1.89431,0.00333145,0.00333145,0.070017
2,751.923,2.13731,0.41774,0.85849,1.70421,0.00649983,0.00649983,0.039852
3,1035.8,1.99561,0.45358,0.9034,1.49776,0.00950321,0.00950321,0.00952206
4,1324.35,1.8701,0.4866,0.93151,1.35662,0.0092575,0.0092575,0.0092575
5,1674.05,1.75447,0.51453,0.94094,1.29801,0.00901,0.00901,0.00901
6,1984.89,1.67203,0.52717,0.9566,1.18178,0.0087625,0.0087625,0.0087625
7,2277.63,1.59408,0.56377,0.9666,1.10252,0.008515,0.008515,0.008515
8,2721.86,1.53907,0.58509,0.97151,1.0246,0.0082675,0.0082675,0.0082675
9,3103.93,1.48042,0.60075,0.9766,0.95219,0.00802,0.00802,0.00802
10,3601.86,1.43799,0.61755,0.97849,0.9395,0.0077725,0.0077725,0.0077725
11,3976.61,1.41083,0.63868,0.98509,0.85823,0.007525,0.007525,0.007525
12,4308.91,1.39023,0.62698,0.98245,0.89393,0.0072775,0.0072775,0.0072775
13,4608.38,1.34132,0.64887,0.98642,0.84508,0.00703,0.00703,0.00703
14,4915.57,1.32123,0.64075,0.98774,0.81246,0.0067825,0.0067825,0.0067825
15,5200.55,1.29068,0.66377,0.98943,0.80021,0.006535,0.006535,0.006535
16,5639.27,1.25331,0.6717,0.99113,0.77931,0.0062875,0.0062875,0.0062875
17,6100.18,1.22998,0.67132,0.98943,0.75511,0.00604,0.00604,0.00604
18,6433.48,1.2063,0.69679,0.99396,0.70054,0.0057925,0.0057925,0.0057925
19,6899.4,1.19691,0.7017,0.99528,0.68439,0.005545,0.005545,0.005545
20,7220.57,1.15886,0.70094,0.99396,0.68054,0.0052975,0.0052975,0.0052975
21,7644.63,1.13363,0.7066,0.9966,0.6459,0.00505,0.00505,0.00505
22,8056.77,1.12424,0.71774,0.99585,0.63043,0.0048025,0.0048025,0.0048025
23,8537.89,1.08982,0.72113,0.99566,0.60386,0.004555,0.004555,0.004555
24,9027.1,1.07827,0.73585,0.99717,0.58357,0.0043075,0.0043075,0.0043075
25,9394.7,1.0522,0.72981,0.99736,0.57059,0.00406,0.00406,0.00406
26,9697.73,1.04694,0.74302,0.99774,0.56292,0.0038125,0.0038125,0.0038125
27,10057.4,1.03256,0.73547,0.99811,0.55847,0.003565,0.003565,0.003565
28,10763.4,1.01475,0.73943,0.99849,0.54497,0.0033175,0.0033175,0.0033175
29,11053.7,0.9905,0.75075,0.99849,0.53136,0.00307,0.00307,0.00307
30,11462.7,0.99478,0.75208,0.99849,0.52974,0.0028225,0.0028225,0.0028225
31,11832.4,0.95811,0.74566,0.99849,0.5275,0.002575,0.002575,0.002575
32,12236.7,0.94228,0.75113,0.99868,0.50582,0.0023275,0.0023275,0.0023275
33,13014.3,0.94939,0.74943,0.99868,0.50402,0.00208,0.00208,0.00208
34,13681.4,0.92635,0.75604,0.99849,0.49435,0.0018325,0.0018325,0.0018325
35,14074.5,0.89968,0.7517,0.99887,0.48892,0.001585,0.001585,0.001585
36,14385.1,0.88835,0.75377,0.99962,0.48556,0.0013375,0.0013375,0.0013375
37,14952.7,0.87889,0.7583,0.99943,0.48065,0.00109,0.00109,0.00109
38,15530.6,0.88088,0.76132,0.99943,0.47354,0.0008425,0.0008425,0.0008425
39,16111.7,0.87209,0.75962,0.99962,0.47224,0.000595,0.000595,0.000595
40,16661.1,0.84753,0.76302,0.99962,0.46768,0.0003475,0.0003475,0.0003475
